id,name,job,location,email,cellPhone,workPhone
0,Miller Estrada,Software Engineer,"Austin, TX",millerestrada@bleendot.com,+1 (942) 534-2242,+1 (800) 400-3160
1,Valentine Blankenship,Web Developer,"Houston, TX",valentineblankenship@bleendot.com,+1 (805) 462-3337,+1 (950) 585-2170
2,Marcie Preston,Graphic Designer,"Austin, TX",marciepreston@bleendot.com,+1 (857) 591-3603,+1 (959) 405-3954
3,Priscilla Luna,Web Developer,"Dallas, TX",priscillaluna@bleendot.com,+1 (804) 514-2276,+1 (945) 594-2787
4,Tricia Albert,Software Engineer,"Houston, TX",triciaalbert@bleendot.com,+1 (827) 401-3147,+1 (915) 424-2694
5,Heidi Talley,Graphic Designer,"Dallas, TX",heiditalley@bleendot.com,+1 (852) 483-2243,+1 (947) 538-2837
6,Dolores Bentley,Consultant,"Houston, TX",doloresbentley@bleendot.com,+1 (974) 540-3997,+1 (835) 418-2190
7,Fuentes Wright,Consultant,"Austin, TX",fuenteswright@bleendot.com,+1 (956) 535-2029,+1 (886) 506-3880
8,Jessica Shaffer,Software Engineer,"Austin, TX",jessicashaffer@bleendot.com,+1 (998) 424-2732,+1 (849) 469-2172
9,Leann Mann,Consultant,"Houston, TX",leannmann@bleendot.com,+1 (865) 489-2056,+1 (914) 542-2149
10,Ewing Larsen,Software Engineer,"Dallas, TX",ewinglarsen@bleendot.com,+1 (931) 488-3495,+1 (894) 521-3848
11,Willis Mills,Web Developer,"Houston, TX",willismills@bleendot.com,+1 (994) 482-3652,+1 (844) 405-2239
12,Nona Mitchell,Software Engineer,"Houston, TX",nonamitchell@bleendot.com,+1 (865) 450-3991,+1 (824) 467-3724
13,Berg Rodriguez,Web Developer,"Houston, TX",bergrodriguez@bleendot.com,+1 (885) 515-3477,+1 (977) 500-2816
14,Alta England,Director,"Houston, TX",altaengland@bleendot.com,+1 (909) 499-3706,+1 (855) 577-3151
15,Anthony Snyder,Graphic Designer,"Austin, TX",anthonysnyder@bleendot.com,+1 (952) 591-3261,+1 (830) 501-3096
16,Marshall Park,Software Engineer,"Dallas, TX",marshallpark@bleendot.com,+1 (984) 533-3572,+1 (945) 560-3054
17,Cecelia Tran,Software Engineer,"Houston, TX",ceceliatran@bleendot.com,+1 (916) 503-2801,+1 (807) 436-3305
18,Della Keith,Consultant,"Dallas, TX",dellakeith@bleendot.com,+1 (951) 546-3844,+1 (823) 556-2382
19,Wynn Page,Director,"Austin, TX",wynnpage@bleendot.com,+1 (857) 581-2052,+1 (844) 556-2296
20,Cantu Booker,Web Developer,"Austin, TX",cantubooker@bleendot.com,+1 (897) 455-3560,+1 (831) 501-2957
21,Cline Mcintosh,Consultant,"Austin, TX",clinemcintosh@bleendot.com,+1 (946) 436-2190,+1 (991) 457-3578
22,Pickett Sawyer,Software Engineer,"Austin, TX",pickettsawyer@bleendot.com,+1 (886) 536-3770,+1 (846) 427-2712
